Collected,Name,Type,Slot,Size,Mass,Rating,Category,Integrity,No Repairs,Coverage,Special Trait,Life,Energy Upkeep,Matter Upkeep,Heat Generation,Energy Generation,Energy Storage,Power Stability,Time/Move,Mod/Extra,Drag,Energy/Move,Heat/Move,Support,Penalty,Burnout,Special,Range,Shot Energy,Shot Matter,Shot Heat,Recoil,Targeting,Delay,Overload Stability,Waypoints,Arc,Wide,Projectile Count,Damage Min,Damage Max,Damage Type,Critical,Penetration,Heat Transfer,Spectrum,Disruption,Salvage,Explosion Radius,Explosion Arc,Explosion Damage Min,Explosion Damage Max,Falloff,Chunks,Explosion Type,Explosion Heat Transfer,Explosion Spectrum,Explosion Disruption,Explosion Salvage,Effect,Description,Hackable Schematic,Fabrication Number,Fabrication Time,Fabrication Components,Studyable,Supporter Attribution
"1","Exp. Remote Shield","Device","Utility","1","8","9","Prototype","100","1","70","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 25% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:2 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 15 (20-(20*0.25)=15), draining 10 energy to prevent the rest (5*2=10).","","","","","","","",
"13","Remote Force Field","Device","Utility","1","8","6","","70","","70","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:8 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 80 energy to prevent the rest (10*8=80).","","1","2","106/53/35","","","Tuxedo-Knight",
"27","Imp. Remote Force Field","Device","Utility","1","15","7","","90","","70","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:7 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 70 energy to prevent the rest (10*7=70).","","1","2","117/58/39","","","LOVE",
"2","Adv. Remote Force Field","Device","Utility","1","18","8","","100","","70","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:6 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 60 energy to prevent the rest (10*6=60).","","1","1","128/64/42","","","",
"1","QV-33N's Drone Shield","Device","Utility","1","12","9","Prototype","70","1","15","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:4 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 40 energy to prevent the rest (10*4=40).","","","","","","","",
"221","AEGIS Remote Shield","Device","Utility","1","15","9","Prototype","120","1","30","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:2 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 20 energy to prevent the rest (10*2=20).","","","","","","","asmodai",
"1","Cep. Energy Mantle","Device","Utility","1","12","10","Prototype","100","1","50","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blocks 50% of damage to self and any visible allies within a range of 10 in exchange for energy loss at a 1:1 ratio.
 <no_stack>

Example: A 20-damage attack would be reduced to 10 (20-(20*0.50)=10), draining 10 energy to prevent the rest (10*1=10).","","","","","","","Hellebarde",
"17","Phase Redirector","Artifact","Utility","1","15","10","Alien","100","1","200","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25% of damage to parts is instead transferred directly to the core.
 <stacks>","","","","","","","",
"1","Field Manipulator","Device","Utility","1","4","6","Prototype","80","1","70","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75% chance to reflect most types of incoming projectiles back in the direction of the attack. Unable to affect guided projectiles, or any that succesfully penetrate.
 <no_stack>","Must be positioned inside an active Stasis Trap to take effect, draining 3% of the field strength each deflection.","","","","","","",
"1","Energy Deflector","Device","Utility","1","8","7","Prototype","75","1","50","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to redirect incoming energy projectiles. Deflections are limited to a 90-degree arc centered in line with the angle of attack. Unable to affect guided projectiles, or any that succesfully penetrate.
 <no_stack>","","","1","187/93/62","","","",
"30","Point Defense System","Device","Utility","1","2","6","","60","","30","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.00% chance to shoot down grenades, rockets, or missiles that pass within a range of 3, checked every time the projectile moves. Can also intercept Remote Datajack projectiles.
 <parallel_ok>","","1","2","106/53/35","","","ArabianSandBoa",
"4","Imp. Point Defense System","Device","Utility","1","3","7","","70","","30","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.00% chance to shoot down grenades, rockets, or missiles that pass within a range of 3, checked every time the projectile moves. Can also intercept Remote Datajack projectiles.
 <parallel_ok>","","1","2","117/58/39","","","Psybernary",
"4","Adv. Point Defense System","Device","Utility","1","4","8","","80","","30","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.00% chance to shoot down grenades, rockets, or missiles that pass within a range of 3, checked every time the projectile moves. Can also intercept Remote Datajack projectiles.
 <parallel_ok>","","1","2","128/64/42","","","Mr. Timn",
"2","Cep. Antimissile System","Device","Utility","1","3","9","Prototype","90","1","30","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.00% chance to shoot down grenades, rockets, or missiles that pass within a range of 3, checked every time the projectile moves. Can also intercept Remote Datajack projectiles.
 <parallel_ok>","","","","","","","",
"1","EX Chip 1","Hackware","Utility","1","","2","","1","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 7. Also provides a +3% bonus to rewiring traps and disrupted robots.
 <stacks>","","","","","","","",
"457","Hacking Suite","Hackware","Utility","1","","3","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 10. Also provides a +5% bonus to rewiring traps and disrupted robots.
 <stacks>","","1","1","73/36/24","","","Macute",
"38","Mak. Hacking Suite","Hackware","Utility","1","","4","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 11. Also provides a +5% bonus to rewiring traps and disrupted robots.
 <stacks>","","","1","84/42/28","","","",
"156","Imp. Hacking Suite","Hackware","Utility","1","","5","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 12. Also provides a +6% bonus to rewiring traps and disrupted robots.
 <stacks>","","1","1","95/47/31","","","Tom Grus",
"207","Adv. Hacking Suite","Hackware","Utility","1","","6","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 14. Also provides a +7% bonus to rewiring traps and disrupted robots.
 <stacks>","","1","1","106/53/35","","","Destry",
"39","Exp. Hacking Suite","Hackware","Utility","1","","7","Prototype","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 16. Also provides a +8% bonus to rewiring traps and disrupted robots.
 <stacks>","","1","1","187/93/62","","","Bjartr",
"66","System Mapper","Hackware","Utility","1","","8","Prototype","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 20. Also provides a +10% bonus to rewiring traps and disrupted robots.
 <stacks>","","","","","","","Gavilin",
"34","Deep Network Scanner","Hackware","Utility","1","","9","Prototype","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 25. Also provides a +12% bonus to rewiring traps and disrupted robots.
 <stacks>","","","","","","","Solklei",
"2","Cep. Network Penetrator","Hackware","Utility","1","","10","Prototype","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 50. Also provides a +25% bonus to rewiring traps and disrupted robots.
 <stacks>","","","","","","","",
"10","Architect God Chip A","Hackware","Utility","1","","10","Prototype","25","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Increases chance of successful machine hack by 100. Also provides a +50% bonus to rewiring traps and disrupted robots.
 <stacks>","","","","","","","",
"1","EX Chip 2","Hackware","Utility","1","","2","","1","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 7. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 3%. Blocks hacking feedback side effects 14% of the time, and repels 14% of hacking attempts against allies within a range of 10.
 <stacks>","","","","","","","",
"177","System Shield","Hackware","Utility","1","","3","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 10. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 5%. Blocks hacking feedback side effects 20% of the time, and repels 20% of hacking attempts against allies within a range of 10.
 <stacks>","","1","1","73/36/24","","","Jayson Bergeron",
"13","Mak. System Shield","Hackware","Utility","1","","4","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 11. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 5%. Blocks hacking feedback side effects 22% of the time, and repels 22% of hacking attempts against allies within a range of 10.
 <stacks>","","","1","84/42/28","","","",
"101","Imp. System Shield","Hackware","Utility","1","","5","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 12. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 6%. Blocks hacking feedback side effects 24% of the time, and repels 24% of hacking attempts against allies within a range of 10.
 <stacks>","","1","1","95/47/31","","","Plexion",
"66","Adv. System Shield","Hackware","Utility","1","","6","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 14. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 7%. Blocks hacking feedback side effects 28% of the time, and repels 28% of hacking attempts against allies within a range of 10.
 <stacks>","","1","1","106/53/35","","","Anders Skov",
"19","Exp. System Shield","Hackware","Utility","1","","7","Prototype","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 16. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 8%. Blocks hacking feedback side effects 32% of the time, and repels 32% of hacking attempts against allies within a range of 10.
 <stacks>","","1","1","187/93/62","","","Poto",
"48","Ghost Barrier","Hackware","Utility","1","","8","Prototype","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 20. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 10%. Blocks hacking feedback side effects 40% of the time, and repels 40% of hacking attempts against allies within a range of 10.
 <stacks>","","","","","","","SickBoy",
"29","Quantum Router","Hackware","Utility","1","","9","Prototype","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 25. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 12%. Blocks hacking feedback side effects 50% of the time, and repels 50% of hacking attempts against allies within a range of 10.
 <stacks>","","","","","","","Razzle Storm",
"9","Architect God Chip D","Hackware","Utility","1","","10","Prototype","25","1","1","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While hacking machines, reduces both chance of detection and rate of detection chance increases by 100. Reduces tracing progress advances by the same amount. Also a lower chance that hacking machines will be considered serious enough to trigger an increase in security level, and reduces central database lockout chance by 50%. Blocks hacking feedback side effects 100% of the time, and repels 200% of hacking attempts against allies within a range of 10.
 <stacks>","","","","","","","",
"2","Authchip [R/NC]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for most non-combat 0b10 bots, including Haulers, Mechanics, Minesweepers, Operators, Protectors, Recyclers, Researchers, Tunnelers, and Workers.","","","","","","",
"18","Authchip [R/Combat]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for most 0b10 combat bots, including Brawlers, Cutters, Demolishers, Duelists, Grunts, Hunters, Programmers, Saboteurs, Sentries, Specialists, and Swarmers.","","","","","","",
"4","Authchip [Power]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all types of power sources.","","","","","","",
"90","Authchip [Propulsion]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all types of propulsion.","","","","","","",
"26","Authchip [Device]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all Device-type utilities.","","","","","","",
"1","Authchip [Storage]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all Storage-type utilities.","","","","","","",
"8","Authchip [Processor]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all Processors and Hackware-type utilities.","","","","","","",
"22","Authchip [Armor]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all Armor-type utilities.","","","","","","",
"14","Authchip [Weapon]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While attached during Fabricator operation, loading and building a single schematic will not be detected or traced.","Applies to schematics for all types of weapons.","","","","","","",
"228","Relay Coupler [NC]","Hackware","Utility","1","","1","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to non-combat 0b10 bots, including Builders, Carriers, Compactors, Haulers, Mechanics, Minesweepers, Operators, Protectors, Recyclers, Researchers, Tunnelers, Watchers, and Workers.","","","","","","",
"4","Relay Coupler [C]","Hackware","Utility","1","","8","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to common front-line 0b10 combat bots, including Brawlers, Duelists, Grunts, and Swarmers.","","","","","","",
"91","Relay Coupler [Swarmer]","Hackware","Utility","1","","3","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Swarmer variant.","","","","","","",
"1","Relay Coupler [Cutter]","Hackware","Utility","1","","3","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Cutter variant.","","","","","","",
"169","Relay Coupler [Grunt]","Hackware","Utility","1","","3","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Grunt variant.","","","","","","",
"9","Relay Coupler [Brawler]","Hackware","Utility","1","","3","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Brawler variant.","","","","","","",
"12","Relay Coupler [Duelist]","Hackware","Utility","1","","3","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Duelist variant.","","","","","","",
"163","Relay Coupler [Sentry]","Hackware","Utility","1","","4","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Sentry variant.","","","","","","",
"8","Relay Coupler [Demolisher]","Hackware","Utility","1","","5","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Demolisher variant.","","","","","","",
"5","Relay Coupler [Specialist]","Hackware","Utility","1","","5","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Specialist variant.","","","","","","",
"55","Relay Coupler [Hunter]","Hackware","Utility","1","","5","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Hunter variant.","","","","","","",
"1","Relay Coupler [Heavy]","Hackware","Utility","1","","6","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Heavy variant.","","","","","","",
"17","Relay Coupler [Behemoth]","Hackware","Utility","1","","6","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Behemoth variant.","","","","","","",
"1","Relay Coupler [Programmer]","Hackware","Utility","1","","7","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any standard 0b10 Programmer variant.","","","","","","",
"4","Relay Coupler [Proto]","Hackware","Utility","1","","9","","10","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enables additional robot hacks when used in conjunction with RIF and Datajack. Requires having used a RIF Installer inside a Garrison.","Applies to any prototype 0b10 combat bot variant accessible via RIF.","","","","","","",
"1","Skeleton Box","Device","Utility","1","2","5","Prototype","40","1","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Automatically hacks visible door terminals within a range of 10. Requires being within that range for 10 turns.","","","","","","","",
"1","01-MTF's Autohacker","Device","Utility","1","2","6","Prototype","40","1","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Automatically hacks visible door terminals within a range of 10. Requires being within that range for 1 turn.","","","","","","","",
"47","Component Analysis Suite","Device","Utility","1","1","4","","10","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3% chance to identify a random unidentified part in inventory each turn. Cannot identify alien technology.
 <parallel_ok>","","1","2","84/42/28","","","",
"50","Imp. Component Analysis Suite","Device","Utility","1","1","6","","10","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4% chance to identify a random unidentified part in inventory each turn. Cannot identify alien technology.
 <parallel_ok>","","1","2","106/53/35","","","BirdoPrey",
"141","Adv. Component Analysis Suite","Device","Utility","1","1","8","","10","","2","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10% chance to identify a random unidentified part in inventory each turn. Cannot identify alien technology.
 <parallel_ok>","","1","2","128/64/42","","","",
"7","A0-MCA's Component Scanner","Processor","Utility","1","","9","","45","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Each turn identifies all unidentified items in view, both in the open and attached to robots. Cannot identify alien technology.","","","","","","","",
"3","Tech Extrapolator","Processor","Utility","1","","6","","35","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","While active, internalizes information about any identified items seen in the open or used by robots, attempting to create new relevant schematics over time based on that knowledge.","","","","","","","",
"11","Dynamic Insulation System","Device","Utility","1","2","4","","27","","8","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All attached parts gain immunity to disruption attacks. Cuts chance of system corruption from electromagnetic damage by 50%. Also a 20% chance to prevent the effects of a shock or surge trap.
 <stacks>","","1","2","84/42/28","","","Eris Discordia",
"29","Imp. Dynamic Insulation System","Device","Utility","1","3","6","","31","","8","","","3","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All attached parts gain immunity to disruption attacks. Cuts chance of system corruption from electromagnetic damage by 67%. Also a 30% chance to prevent the effects of a shock or surge trap.
 <stacks>","","1","2","106/53/35","","","ktur",
"32","Adv. Dynamic Insulation System","Device","Utility","1","4","7","Prototype","35","","8","","","6","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All attached parts gain immunity to disruption attacks. Cuts chance of system corruption from electromagnetic damage by 75%. Also a 40% chance to prevent the effects of a shock or surge trap.
 <stacks>","","1","1","187/93/62","","","NyvenZA",
"11","System Guard","Processor","Utility","1","","5","","10","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces effective system corruption by 8.
 <stacks>","","1","2","95/47/31","","","gregunderscorem",
"7","Imp. System Guard","Processor","Utility","1","","7","","15","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces effective system corruption by 12.
 <stacks>","","1","2","117/58/39","","","sve9",
"1","Exp. System Guard","Processor","Utility","1","","9","Prototype","20","1","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Reduces effective system corruption by 20.
 <stacks>","","1","1","222/111/74","","","",
"7","Corruption Screen","Processor","Utility","1","","4","","16","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Prevents infliction of new system corruption from any external source, losing 2 integrity per percent of corruption blocked.","","1","2","84/42/28","","","",
"5","Imp. Corruption Screen","Processor","Utility","1","","6","","30","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Prevents infliction of new system corruption from any external source, losing 2 integrity per percent of corruption blocked.","","1","2","106/53/35","","","",
"7","Adv. Corruption Screen","Processor","Utility","1","","8","","40","","2","Fragile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Prevents infliction of new system corruption from any external source, losing 2 integrity per percent of corruption blocked.","","1","2","128/64/42","","","",
"133","System Restoration Module","Device","Utility","1","1","4","","15","","15","Fragile","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00% chance each turn to purge 1% of system corruption, losing 3 integrity each time the effect is applied.
 <parallel_ok>","","1","2","84/42/28","","","Sick Willie",
"13","Mak. System Restoration Module","Device","Utility","1","5","4","","45","","20","Fragile","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00% chance each turn to purge 1% of system corruption, losing 3 integrity each time the effect is applied.
 <parallel_ok>","","","2","84/42/28","","","",
"118","Imp. System Restoration Module","Device","Utility","1","2","5","","21","","15","Fragile","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.70% chance each turn to purge 1% of system corruption, losing 3 integrity each time the effect is applied.
 <parallel_ok>","","1","2","95/47/31","","","",
"35","Adv. System Restoration Module","Device","Utility","1","3","6","","30","","15","Fragile","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.00% chance each turn to purge 1% of system corruption, losing 3 integrity each time the effect is applied.
 <parallel_ok>","","1","2","106/53/35","","","Mothringer",
"85","System Purifier","Device","Utility","1","4","8","Prototype","45","","15","Fragile","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.80% chance each turn to purge 1% of system corruption, losing 3 integrity each time the effect is applied.
 <parallel_ok>","","1","1","204/102/68","","","WeberO",
