Name,Class,Tier,Threat,Rating,Value,Size Class,Size,Profile,Memory,Spot %,Movement,Speed,Speed %,Sight Range,Energy Generation,Heat Dissipation,Core Integrity,Core Exposure,Core Exposure %,Salvage Potential,Accuracy,Melee Accuracy,Inventory Capacity,Hacking Availability,Hacking Difficulty,Power Slots,Propulsion Slots,Utility Slots,Weapon Slots,Kinetic,Thermal,Explosive,Electromagnetic,Impact,Slashing,Piercing,Immunities,Traits,Fabrication Count,Fabrication Time,Armament,Components,Analysis
"Enhanced Sentry","Sentry (Prototype)","10","5","150","200","Large","1","RD7X7","80","100","Treading","145","68","16","39","106","150","732","29","100~140","60","70","1","ALL","AC0","1","3","6","4","","","50%","50%","","","","Coring, Disruption","","","","Hvy. Hardcell Cannon, 2x Lrn. Gatling Laser","Imp. Quantum Reactor, Adv. Heavy Treads, Adv. Medium Treads, Exp. Core Shielding, 2x Exp. Powered Armor, Adv. Point Defense System, 2x Exp. Cooling System","",
"Enhanced Demolisher","Demolisher (Prototype)","10","5","129","200","Medium","1","RD5X5","120","50","Hovering","54","185","16","31","105","120","534","39","80~110","60","70","1","ALL","AC0","1","3","6","2","","","100%","25%","25%","","","","","","","Chain Missile Launcher","Cld. Fission Core, 3x Cmb. Linear Gravjet, Centrium Medium Armor Plating, Exp. Shock Absorption System, Coolant Network, Adv. Launcher Guidance Computer, Adv. Launcher Guidance Computer","",
"Enhanced Hunter","Hunter (Prototype)","10","5","164","200","Medium","1","RD5X5","120","75","Walking","90","111","16","43","120","120","349","29","80~110","72","70","1","ALL","AC0","1","3","9","2","","","","50%","","","","","Scan Cloak (5): Hides this robot from sensors without a Signal Interpreter of at least strength 5.","","","2x Hyp. Linear Accelerator","Quantum Reactor, 3x Exp. Biometal Leg, Gravity Neutralizer, Coolant Network, Exp. Power Amplifier, Desublimator, Exp. Targeting Computer, Exp. Phase Shifter, Exp. Matter Compressor, Exp. Weapon Cycler","",
"Enhanced Programmer","Programmer (Prototype)","10","5","161","200","Medium","1","RD5X5","120","75","Hovering","98","102","16","74","63","120","289","29","70~100","60","70","1","MANUAL","","1","4","7","2","30%","50%","75%","90%","","","","Hacking","","","","2x Enh. Gamma Rifle","Imp. Quantum Reactor, 4x Cld. Linear Gravjet, Exp. Cooling System, Exp. Target Analyzer, Exp. Focal Shield, Thermal Barrier, Adv. Point Defense System, Exp. Energy Well, Adv. Remote Force Field","",
"Enhanced Q-Series","Q-Series (Prototype)","10","5","124","300","Large","1","RD7X7","120","75","Walking","90","111","16","74","114","120","285","30","90~150","60","70","1","MANUAL","","2","3","15","10","","","","","","","","Hacking, Jamming","","","","","Imp. Quantum Reactor, Lgt. Quantum Reactor, 3x Exp. Biometal Leg, Centrium Medium Armor Plating, Exp. Core Shielding, Exp. Cooling System, Exp. Heat Sink, Adv. Dynamic Insulation System, Exp. Core Analyzer","",
"Lightning","Hunter (Prototype)","10","5","110","125","Medium","1","RD5X5","60","90","Walking","100","100","16","56","51","100","281","29","70~100","72","70","1","ALL","VHARD","1","2","6","2","25%","","25%","100%","-25%","","","Jamming","Scan Cloak (5): Hides this robot from sensors without a Signal Interpreter of at least strength 5.","","","EMDS","Quantum Reactor, 2x Enh. Biometal Leg, Exp. Heat Sink, Adv. Power Amplifier, Exp. Targeting Computer, Exp. Phase Shifter, Exp. EM Shield, Imp. Weapon Shielding","A specialized hunter prototype not yet in wide deployment, currently only used to defend sensitive areas in more maze-like environments where it can quickly dispatch of intruders through walls with its experimental EMDS. It also remains completely undetectable by any known non-visual sensor, and can even survive direct engagements against multiple hostiles with the aid of the most advanced phasing technology to date.",
"Hotshot","Grunt (Prototype)","10","5","98","125","Medium","1","RD5X5","50","50","Walking","140","71","16","20","181","90","605","39","70~110","60","70","1","ALL","GREAT","","3","6","2","","","","-25%","","","","","","","","Prc. Phase Gun, Imp. Heavy Laser","Hvy. Shield Leg, Shield Leg, Exp. Propulsion Shielding, 3x Exp. Heat Sink, Adv. Cryofiber Web, Exp. Weapon Shielding","One of the more stable early grunt protovariants nearly ready for general deployment pending enhancements to tactical planning around when to best assume a defensive posture. Testing has repeatedly proven the Hotshot's ability to hold its ground in longer fights or quickly pick apart or even melt weaker evasive enemies. This variant is also one of the first attempts at creating a frontline design relying entirely on integrated energy generation rather than a modular power source.",
"Decapitator","Cutter (Prototype)","10","5","83","100","Small","1","SQ3X3","30","30","Flying","19","526","16","59","150","50","362","50","35~45","60","78","","ALL","GREAT","1","3","2","2","","","","","","","","","","","","Cep. Concussive Dispersal Blaster, Exp. Terror Saw","Mic. Antimatter Reactor, 3x Exp. Surge Thruster, Exp. Reaction Control System, Adv. Melee Analysis Suite","While Cutter designs are generally believed to be a hard counter against airborne intruders, a group of Decapitators equipped with Terror Saws is so deadly that even hardened combat bots are quickly taken apart.",
"Immortal","Duelist (Prototype)","10","5","120","125","Medium","1","RD5X5","30","20","Walking","120","83","16","34","15","100","299","34","70~100","60","82","1","ALL","GREAT","1","2","7","1","","","","","","25%","25%","","","","","Exp. Jetlance","Imp. Quantum Reactor, 2x Imp. Thunder Leg, Centrium Medium Armor Plating, Adv. Coolant Injector, Cep. Core Shell, Exp. Cloaking Device, Cep. Antimissile System, Nanoactuators, Exp. Melee Analysis Suite","No bot is immortal, but the defenses and extra core shielding being tested in this variant could certainly give attackers that impression. The combined benefits of cloaking and weaving toward targets also make it easier to safely reach attack range, while the normal duelist slashing armament has been replaced with a piercing solution likely to immobilize targets. Future versions will include melee reflex or projectile intercept capabilities, whichever of those projects proves more promising in practice.",
"Overlord","Heavy (Prototype)","10","5","264","250","Large","1","RD7X7","10","","Treading","160","62","23","111","106","180","619","25","120~150","72","70","1","ALL","GODLY","2","4","17","2","","","50%","75%","50%","50%","50%","","","","","Hvy. Hardcell Cannon","Imp. Quantum Reactor, Hyb. Graviton Reactor, 2x Enh. Armored Heavy Treads, 2x Exp. Cooling System, Centrium Heavy Armor Plating, Graphene Brace, Adv. Dynamic Insulation System, Exp. EM Shield, 2x Exp. Energy Well, Exp. Remote Shield, Exp. Active Sensor Suite, Exp. Transmission Jammer, Exp. Optical Array, Exp. Weapon Cycler, Adv. Kinecellerator, Exp. Targeting Computer","Although not built primarily for front line combat, the Overlord's dual reactor setup and additional energy reserves are ideal for powering its Remote Shield through longer fights when supporting nearby allies. Even more important is its role in dispatching Immortals and Decapitators to more directly engage hostiles.",
"Tracker","Swarmer (Prototype)","10","4","84","100","Small","1","SQ3X3","120","100","Flying","15","666","22","50","66","80","285","39","50~80","72","70","","ALL","GREAT","","1","5","3","","","","50%","","","","Coring, Jamming","Scan Cloak (5): Hides this robot from sensors without a Signal Interpreter of at least strength 5.","","","Linked Autogun, Immobilizer","Integrated Tracker Drive, Exp. Heat Sink, Exp. Phase Shifter, Enh. Optical Array, Lrn. Sensor Array, Exp. Targeting Computer","Trackers are still new designs that may need more updates, but will no doubt become vital in the effort to protect my most important assets. Their built-in drive enables them to catch up to anything ever spotted coming out of the caves so far, and although they're equipped with valuable technology themselves, rather than harden them with armor and slow them down, Trackers have improved evasive capabilities to help avoid getting hit in the first place. The combination of rapid-fire Linked Autogun and Immobilizer for slowing fast targets will make derelicts think twice before raiding upper 0b10 for spare parts.",
"Combat Programmer","Programmer (Prototype)","10","5","160","200","Medium","1","RD5X5","80","100","Hovering","32","312","16","66","63","120","378","29","70~100","60","70","1","MANUAL","","2","3","7","3","5%","-25%","90%","75%","-25%","","","Coring, Hacking, Jamming","Self-destructing: Leaves no parts on destruction, unless self-destruct mechanism fails due to system corruption.","","","Exp. Remote Datajack, EMDS","2x Com. Particle Reactor, 3x Cld. Linear Gravjet, Quantum Shading Machine, Exp. Cooling System, Exp. Target Analyzer, Exp. Focal Shield, Adv. Dynamic Insulation System, Centrium Medium Armor Plating, Exp. Weapon Shielding","As the first real frontline hacking bot, Combat Programmers are both shielded and armored to effectively face off against a variety of threats. While they possess significant hacking capabilities to make the most of time-critical situations, they also borrow the Lightning's EMDS and targeting systems, making them formidable even when outnumbered in combat. The latest model takes advantage of improved integrated shock resistance methods recently suggested by my researchers. Eventually a majority of programmers should be replaced with these combat variants.",
"V-Series","V-Series (Prototype)","10","5","183","150","Large","1","RD7X7","120","100","Hovering","112","89","16","50","50","120","300","14","30~100","60","70","1","MANUAL","","1","4","10","4","30%","","","75%","","","","Hacking, Jamming","","","","","","",
"Investigator","Researcher (Prototype)","10","5","80","70","Medium","1","RD5X5","80","100","Hovering","46","217","16","30","25","60","282","39","60~80","60","70","1","ALL","VHARD","1","3","3","2","","25%","","-50%","-25%","-25%","-25%","Jamming","","","","Exp. Stasis Projector, Containment Facilitator","Lgt. Quantum Reactor, Antigrav Array, Imp. Linear Gravjet, Sml. Storage Unit, Imp. System Guard, Adv. Component Analysis Suite","Investigators are built specifically to oversee the testing of dangerous prototypes, and are therefore capable of holding multiple threats in place while supporting units deal with them.",
"Striker","Striker (Prototype)","10","5","99","110","Large","1","RD7X7","50","50","Flying","42","238","16","30","54","80","106","19","60~80","60","70","1","ALL","GREAT","1","4","3","2","","","","","","20%","20%","","","","","Com. Linear Accelerator, Plasma Lance","Lgt. Quantum Reactor, 2x Impulse Thruster Array, Centrium Light Armor Plating, Adv. Heat Sink, Exp. Reaction Control System","The Striker is a prototype for a new class of combat robot, a large yet fast flier that fires its primary linear accelerator while approaching a target before engaging in melee with a plasma lance. An experimental reaction system makes the Striker more difficult to hit on approach despite its large size. The plasma lance is highly effective at skewering target cores.",
"SKR-2","Striker (Prototype)","10","5","145","135","Large","1","RD7X7","75","50","Flying","39","256","16","34","61","100","141","20","80~100","60","82","1","MANUAL","","1","6","5","3","","","","","","20%","20%","Hacking","","","","Com. Linear Accelerator, 2x Enh. Force Lance","Imp. Quantum Reactor, 3x Impulse Thruster Array, Centrium Medium Armor Plating, Exp. Heat Sink, Exp. Reaction Control System, Nanoactuators, Exp. Melee Analysis Suite","",
"Executioner","Executioner (Prototype)","10","5","119","120","Large","1","RD7X7","50","50","Walking","100","100","23","34","36","80","166","24","70~100","72","70","1","ALL","GREAT","1","2","7","2","","","","","","","","","","","","2x Helical Railgun","Imp. Quantum Reactor, 2x Enh. Biometal Leg, Exp. Heat Sink, Exp. Optical Array, Exp. Targeting Computer, 2x Exp. Core Analyzer, Adv. Kinecellerator, Imp. Armor Integrity Analyzer","The Executioner is a prototype for a new class of combat robot armed with dual helical railgun prototypes, capable of piercing targets at extreme range with extreme accuracy, often bypassing any and all armor to strike the target's core directly.",
"EXE-6","Executioner (Prototype)","10","5","131","150","Large","1","RD7X7","75","50","Walking","80","125","23","34","36","100","145","24","90~110","60","70","1","MANUAL","","1","2","6","2","","","","","","","","Hacking","","","","2x Cep. XC Strikerail","Imp. Quantum Reactor, 2x Exp. VSS Leg, Exp. Heat Sink, Exp. Optical Array, 2x Exp. Core Analyzer, Exp. Kinecellerator, Exp. Armor Integrity Analyzer","",
"Superbehemoth","Behemoth (Prototype)","10","5","251","300","Large","2","SQ9X9","80","30","Treading","160","62","16","50","154","250","730","19","130~200","60","70","1","ALL","GODLY","2","4","15","5","","25%","","55%","","","","Coring","","","","Helical Railgun, Com. Linear Accelerator, 2x Prc. Phase Gun, Com. Tesla Bomb Launcher","2x Rnf. Quantum Reactor, 2x Centrium Heavy Treads, Lyr. Heavy Armor Plating, Hvy. Reflective Plating, Hvy. Insulated Plating, Adv. Dynamic Insulation System, 3x Exp. Cooling System, Exp. Coolant Injector, Exp. Force Field, Exp. Utility Shielding, Imp. Core Shielding, Adv. Energy Well","Superbehemoth prototypes, now in their third revision, are the answer to increasingly powerful yet maneuverable derelict robots, which can attack guerrilla style then retreat into a network of narrow caves to avoid pursuit by the heaviest assault forces. Future efforts to completely clear and protect the Proximity Caves will require a more versatile heavy attacker capable of quickly burrowing through even the toughest rock. To that end, Superbehemoth frames are embedded with a weaker version of the Sigix Matter Drive, while also carrying enough different weaponry to deal with a variety of threats without supporting units.",
"Alpha 7","Alpha 7 (Prototype)","10","5","152","200","Medium","1","RD5X5","100","100","Walking","120","83","16","64","63","200","235","25","70~90","72","70","1","ALL","GODLY","1","2","7","2","25%","25%","","25%","","","-50%","Coring, Disruption, Jamming","","","","Multirail, Hvy. Quantum Rifle OR Enh. Gamma Rifle","Imp. Quantum Reactor, 2x Hds. Centrium Leg, Centrium Medium Armor Plating, Adv. Point Defense System, Exp. ECM Suite, Adv. Dynamic Insulation System, Exp. Cooling System, Exp. Targeting Computer, Exp. Target Analyzer","The Alpha 7 is a prototype for a new class of combat robot, very accurate with its multirail and heavy quantum rifle. Some experimental variants instead use an enhanced gamma rifle. Alpha 7s are built with strong defensive capabilities and triple-encased core technology, enabling them to easily take on multiple opponents simultaneously, while a more advanced version of the behemoth-style critical failure prevention system provides the same advantages in a smaller frame.",
"AP7-3","Alpha 7 (Prototype)","10","5","174","250","Medium","1","RD5X5","100","100","Walking","90","111","16","64","68","200","271","24","70~90","72","70","1","MANUAL","","1","2","8","3","25%","25%","","25%","","","-50%","Coring, Disruption, Hacking, Jamming","","","","Cep. XC Strikerail, Hvy. Quantum Rifle, Enh. Gamma Rifle","Imp. Quantum Reactor, 2x Exp. Biometal Leg, Centrium Medium Armor Plating, Adv. Point Defense System, Exp. ECM Suite, Adv. Dynamic Insulation System, Exp. Cooling System, Exp. Coolant Injector, Exp. Targeting Computer, Exp. Target Analyzer","",
"Fortress","Fortress (Prototype)","10","5","344","500","Huge","3","SQ9X9","20","100","Treading","160","62","16","120","130","500","944","24","200~500","60","70","1","ALL","GREAT","4","8","13","2","25%","50%","50%","100%","","","","Coring, Disruption","","","","Enh. Nova Cannon, Graviton Cannon","2x Vortex Chain Reactor, 4x Hds. Centrium Heavy Treads, Centrium Heavy Armor Plating, Hvy. Insulated Plating, Exp. EM Shield, Thermal Barrier, Adv. Point Defense System, Exp. Force Field, Adv. Dynamic Insulation System, Coolant Network, Adv. Coolant Injector, Exp. Weapon Shielding","Only three Fortress prototypes have been built to garrison vital locations, utilizing the latest centrium armor technology and a wide array of other defensive components to render them highly resistant to all common forms of damage. While their offensive capabilities are limited to two powerful cannons, even a small army would have difficulty overcoming a Fortress before it picks them off one by one.",
"LRC-V4","LRC (Prototype)","10","1","50","","Medium","1","RD5X5","","","Core","50","200","16","5","25","250","100","100","0","60","70","4","MANUAL","","1","2","2","2","","","","","","","","Hacking","","","","","","",
"LRC-V5","LRC (Prototype)","10","1","80","","Medium","1","RD5X5","","","Core","50","200","18","10","35","400","100","100","0","60","70","6","MANUAL","","1","2","6","3","","","","","","","","Hacking","","","","","","",
"LRC-V6","LRC (Prototype)","10","1","160","","Medium","1","RD5X5","","","Core","50","200","20","30","50","800","100","100","0","60","70","8","MANUAL","","2","4","4","4","","","","","","","","Hacking","","","","","","",
"Protovariant G","Grunt (Prototype)","10","5","152","200","Medium","1","RD5X5","40","50","Walking","120","83","16","68","154","140","190","19","80~110","60","70","1","ALL","GODLY","2","3","6","3","-25%","30%","","-25%","","","","","","","","Prc. Phase Gun OR Hvy. Dispersion Rifle, Adv. Plasma Rifle OR Hvy. Wave Gun OR Adv. Variable Charge Gun OR Cld. Phase Gun, Cld. Plasma Rifle OR Enh. Force Rifle OR Hvy. Gatling Laser","2x Imp. Quantum Reactor, 3x Enh. Biometal Leg OR 3x Hds. Centrium Leg, Imp. Armor Integrity Analyzer OR Exp. Weapon Cycler, Exp. Targeting Computer OR Adv. Particle Charger, 3x Exp. Heat Sink OR 3x Exp. Cooling System, Exp. Utility Shielding OR Exp. Thermal Shield","",
"Protovariant L","Duelist (Prototype)","10","5","112","200","Medium","1","RD5X5","60","50","Walking","120","83","16","44","40","140","59","16","60~85","60","82","1","ALL","GODLY","2","2","5","2","","","","","","25%","25%","","","","","Vibroblade OR Molecular Scythe OR Nanosword, Vibroblade OR Molecular Scythe OR Nanosword","2x Com. Particle Reactor OR Graviton Reactor, 2x Adv. Myomer Leg OR 2x Enh. Biometal Leg, Stasis Canceller, Exp. Core Shielding OR Exp. Reaction Control System, Exp. Melee Analysis Suite, Exp. Core Analyzer, Femtoactuators","",
"Protovariant Y","Sentry (Prototype)","10","5","154","200","Large","1","RD7X7","80","50","Treading","160","62","16","68","154","170","307","16","80~105","60","70","1","ALL","GODLY","2","2","9","3","","50%","50%","","25%","","","","","","","Imp. Matter Neutralizer OR Lrn. Phase Cannon OR Cld. Phase Cannon, Adv. KE Penetrator OR Helical Railgun, Quantum Rifle OR Prc. Phase Gun","2x Imp. Quantum Reactor OR Com. Particle Reactor, Exp. Biometal Heavy Treads OR Enh. Armored Heavy Treads, Centrium Heavy Armor Plating OR Lyr. Heavy Armor Plating, Hvy. Reflective Plating OR Thermal Barrier, Exp. Target Analyzer OR Prc. Energy Filter, 4x Exp. Heat Sink OR 3x Exp. Cooling System","",
"Protovariant D","Demolisher (Prototype)","10","5","121","200","Medium","1","RD5X5","60","50","Hovering","74","135","16","56","55","180","147","19","70~100","60","70","1","ALL","GODLY","2","3","5","1","","","100%","","25%","","","","","","","Hellfire Missile Launcher OR Adv. Micro-nuke Launcher OR Ragnarok Missile Launcher","2x Com. Particle Reactor, 3x Cmb. Antigrav System, Centrium Medium Armor Plating, Adv. Point Defense System OR Exp. Shock Absorption System, Adv. Launcher Guidance Computer OR 2x Imp. Launcher Guidance Computer, Exp. Weapon Shielding","",
"Protovariant X","Specialist (Prototype)","10","5","161","200","Medium","1","RD5X5","100","50","Walking","100","100","24","68","116","140","111","15","60~90","72","70","1","ALL","GODLY","2","3","7","3","","30%","","","","","","","","","","3x Com. Linear Accelerator OR 3x Com. Mass Driver","2x Com. Particle Reactor OR 2x Imp. Quantum Reactor, 3x Enh. Biometal Leg OR 3x Hds. Centrium Leg OR 3x Exp. Biometal Leg, 2x Exp. Cooling System, Exp. Optical Array OR Spectral Analyzer, Exp. Thermal Shield OR Exp. Utility Shielding, Exp. Matter Compressor OR Prc. Matter Filter, Exp. Transmission Jammer, Exp. Targeting Computer","",
"Protovariant H","Hunter (Prototype)","10","5","150","200","Medium","1","RD5X5","120","50","Walking","100","100","16","76","126","150","172","16","70~100","72","70","1","ALL","GODLY","2","3","6","3","25%","","","-25%","","","","","Scan Cloak (4): Hides this robot from sensors without a Signal Interpreter of at least strength 4.","","","3x Helical Railgun OR 3x Adv. KE Penetrator","2x Zero-point Reactor OR 2x Graviton Reactor, 3x Enh. Biometal Leg OR 3x Hds. Centrium Leg OR 3x Exp. Biometal Leg, 2x Exp. Heat Sink OR 2x Exp. Cooling System, Exp. ECM Suite OR Exp. Reaction Control System, Adv. Recoil Stabilizer OR Exp. Weapon Cycler, Exp. Targeting Computer, Exp. Phase Shifter","",
"Protovariant P","Programmer (Prototype)","10","5","206","200","Medium","1","RD5X5","160","50","Hovering","88","113","16","102","174","150","170","14","60~70","60","70","1","MANUAL","","2","4","12","4","-25%","-25%","25%","75%","","","","Hacking","","","","Gui. Remote Datajack, 2x Enh. Gamma Rifle OR 3x Hvy. Tesla Rifle","2x Zero-point Reactor OR 2x Graviton Reactor, 4x Cld. Antigrav System, Adv. Quantum Shading Machine, Exp. Target Analyzer, 4x Exp. Heat Sink OR 3x Exp. Cooling System, Adv. Remote Force Field, Exp. Power Amplifier, 2x Exp. Energy Well, Exp. Weapon Cycler OR 2x Adv. Weapon Cycler","",
"Artisan","Artisan (Derelict)","1","1","7","","Medium","1","RD5X5","10","","Rolling","80","125","14","10","10","10","173","39","10~30","60","70","1","ALL","EASY","1","2","","1","","","","-25%","","","","","","","","Multitool","Lgt. Ion Engine, 2x Wheel","More research is necessary, but I'm certain the twisted machinery they endlessly build, tweak and rebuild is not as sterile as it seems. New mechanical life stirs within, likely tied into other parts of the derelict ecosystem still unknown. Fortunately Artisans steer clear of Complex 0b10 and our primary areas of operation, otherwise we might have to take a more heavy-handed approach as the layout of their structures has little regard for navigation, making patrolling in their vicinity relatively difficult.",
"Cobbler","Cobbler (Derelict)","1","1","15","","Large","1","RD7X7","10","","Rolling","80","125","14","10","10","40","186","39","30~70","60","70","1","ALL","EASY","1","2","2","","","","","","","","","","","","","","Ion Engine, 2x Wheel, Cobbler Unit","Mobile fabricators are a good idea, if unfortunately not always as easy to update with new technology. Cobblers reside in the lowest depths of the cave systems, where the important question is whether they are creating parts based on what they've encountered down there, or did they develop some independently before the designs were incorporated into builds of the local inhabitants?",
"Subdweller","Subdweller (Derelict)","2","3","19","40","Large","1","RD7X7","20","20","Rolling","120","83","19","20","10","25","400","29","30~60","60","70","2","ALL","AVERAGE","1","1","4","1","","","-25%","","","","","","","","","Sub. Laser (40%) OR Sub. Beam Cannon (15%) OR Sub. Machine Gun (40%) OR Sub. Shrapnel Launcher (5%)","Sub. Power Source, Sub. Monowheel, Disposable Heat Sink, Sub. Optics, Scrap Shield","Equipped with gear of mostly local construction, Subdwellers are capable of navigating through otherwise seemingly impenetrable twisted machinery, making them difficult for patrols to engage effectively. They are generally aggressive, and protective of nearby artisans and cobblers, but may also become skittish and run away or seek help when attacked.",
"Bolteater","Bolteater (Derelict)","2","1","20","10","Medium","1","RD5X5","10","20","Rolling","45","222","14","15","10","25","128","29","50~100","60","70","1","ALL","EASY","","2","2","2","25%","25%","25%","25%","","","","","","","","2x Ripteeth","2x Wheel, Sml. Storage Unit, Rocket Booster","Some Packrat variants have become quite capable in their own right, evolved to rip hostiles apart specifically to use pieces for self-repair, then discard any remains. Surprisingly they are resistant to many forms of damage.",
"Federalist","Federalist (Derelict)","3","1","12","32","Medium","1","RD5X5","20","20","Walking","120","83","16","15","34","22","240","40","25~35","60","70","1","ALL","AVERAGE","1","2","1","2","","","","","","","","","","","","2x Salvaging Laser","Ion Engine, 2x Aluminum Leg, Imp. Heat Sink","",
"Explorer","Explorer (Derelict)","3","1","17","40","Medium","1","RD5X5","30","20","Walking","90","111","16","15","20","25","99","34","40~65","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","75%","75%","75%","","","","","Mak. Spear","Lgt. Ion Engine, 2x VSS Leg, Structural Scanner OR Trap Scanner OR Adv. Visual Processing Unit OR Imp. Sensor Array OR Imp. Terrain Scanner OR Seismic Detector","Specialized exploration-oriented derelicts are fairly weak in combat and not a direct threat, though they pose a long-term danger due to their intelligence gathering capabilities which can generate intel later passed on to a greater variety of derelicts. Destroy on sight.",
"Ranger","Ranger (Derelict)","3","1","19","45","Medium","1","RD5X5","60","50","Hovering","56","178","16","19","30","28","191","34","40~65","70","70","1","ALL","AVERAGE","1","2","2","2","25%","","","-25%","","","","","Scan Cloak (2): Hides this robot from sensors without a Signal Interpreter of at least strength 2.","","","2x Bolt Gun","Lgt. Nuclear Core, 2x Airjet, Mak. Targeting Computer, Heat Sink","Although derelict Rangers lack stopping power, in greater numbers their speed and aggression can cause problems for cave patrols caught in ambushes. Reports indicate that projectiles seemingly come from the walls before contact is even made, further suggesting they descended from an early hunter prototype before it was converted to a legged design for improved durability.",
"Ranger","DRS Ranger (Derelict)","6","3","64","70","Medium","1","RD5X5","60","50","Hovering","52","192","16","30","44","55","241","34","60~80","68","70","1","ALL","HARD","2","3","3","2","25%","","","-25%","","","","","Scan Cloak (3): Hides this robot from sensors without a Signal Interpreter of at least strength 3.","","","2x Hyp. Gauss Rifle OR 2x KE Penetrator OR 2x Hyp. Coil Gun","2x Mic. Fission Core, 3x Antigrav System, Adv. Targeting Computer, Imp. Target Analyzer, Imp. Heat Sink","",
"Guru","Guru (Derelict)","3","1","26","40","Medium","1","RD5X5","80","30","Hovering","56","178","16","19","36","25","198","33","35~55","60","70","1","MANUAL","","1","2","4","2","","","","50%","","","","Hacking","","","","2x EM Pulse Gun","Lgt. Deuterium Engine, 2x Imp. Hover Unit, 2x Mak. Hacking Suite, Lrg. Battery, Imp. Heat Sink","A primitive hacker of machines, loosely related to the old P-50 design, this type of derelict is incapable of employing anything other than brute force against live targets.",
"Scientist","Scientist (Derelict)","3","1","16","","Medium","1","RD5X5","10","","Rolling","80","125","14","15","10","20","108","39","15~35","60","70","1","ALL","EASY","1","2","2","","","","","-50%","","","","","","","","","Lgt. Ion Engine, 2x Wheel, Machine Analyzer, Tech Extrapolator","The original C-35 design was focused on passive analysis and rudimentary heavy lifting since I handled most of the fundamental generative work, though later derelict derivations encountered in the 0b1 caves have demonstrated an increasingly creative streak. I might need to sweep the caves clear of them to avoid an eventual tech race. After harvesting their knowledge, of course.",
"Scrapper","Scrapper (Derelict)","3","1","33","49","Medium","1","RD5X5","20","20","Walking","100","100","16","19","20","27","308","40","50~70","60","70","1","ALL","AVERAGE","1","2","4","1","","","","","","","","","","","","Ovr. Pulse Rifle","Lgt. Deuterium Engine, 2x Ovr. Titanium Leg, Scrap Suit, Mak. Microdissipator Network, Mak. Salvage Targeting Computer","For a long time often encountered occupying the fringes of Complex 0b1, scrappers have much more recently started encroaching on the edges of Complex 0b10. They have never been able to meaningfully organize themselves and seem to enjoy little more than tinkering with discarded components, and therefore pose little threat to operations. Scrapper loadouts have continued to evolve as they tweak the components they find, however, so could be a good target for research at some point.",
"Scrapper","Scrapper (Derelict)","6","3","60","61","Medium","1","RD5X5","20","20","Walking","90","111","16","19","130","47","484","39","60~80","60","70","1","ALL","AVERAGE","1","2","6","2","","","","","","","","","","","","Ovr. Beamcaster, Beam Rifle (40%) OR Particle Gun (40%) OR Field Laser (10%) OR Pulse Rifle (10%)","Lgt. Deuterium Engine, 2x Ovr. Flexi-carbon Leg, Scrap Suit, Mak. Coolant Network, Mak. Salvage Targeting Computer","For a long time often encountered occupying the fringes of Complex 0b1, scrappers have much more recently started encroaching on the edges of Complex 0b10. They have never been able to meaningfully organize themselves and seem to enjoy little more than tinkering with discarded components, and therefore pose little threat to operations. Scrapper loadouts have continued to evolve as they tweak the components they find, however, so could be a good target for research at some point.",
"Elite","Elite (Derelict)","4","2","42","56","Large","1","RD7X7","40","100","Treading","140","71","16","21","20","36","421","34","70~90","60","70","1","ALL","HARD","1","2","5","2","","","50%","","","","","","","","","Ovr. Barrage Gun, Barrage Gun (40%) OR Enh. Autogun (10%) OR Gauss Rifle (25%) OR Hvy. Battle Rifle (25%)","Imp. Deuterium Engine, 2x Ovr. Treads, Mak. Light Armor Plating, Scrap Suit, Mak. Microdissipator Network, Target Analyzer","Some scrappers have apparently evolved themselves to orient more towards combat purposes, adding armor and extra modified weapons. Whether this is to protect other derelicts or further their own goals remains to be seen, but they are rarely seen in any significant numbers so do not yet warrant additional attention.",
"Elite","Elite (Derelict)","7","4","82","65","Large","1","RD7X7","40","100","Treading","140","71","16","21","130","60","558","34","80~100","60","70","1","ALL","HARD","1","2","7","2","","","50%","","","","","","","","","Ovr. Coil Gun, KE Penetrator (40%) OR Imp. KE Penetrator (10%) OR Railgun (40%) OR Adv. KE Penetrator (10%)","Imp. Deuterium Engine, 2x Ovr. Medium Treads, Mak. Medium Armor Plating, 0bPrime Scrap Suit, Mak. Coolant Network, Imp. Target Analyzer","Some scrappers have apparently evolved themselves to orient more towards combat purposes, adding armor and extra modified weapons. Whether this is to protect other derelicts or further their own goals remains to be seen, but they are rarely seen in any significant numbers so do not yet warrant additional attention.",
"Lugger","Hauler (Derelict)","6","1","28","","Large","1","SQ9X9","10","","Treading","160","62","14","12","10","60","201","30","60~100","60","70","1","ALL","EASY","1","2","4","","","","","-25%","","","","","","","","","Imp. Ion Engine, 2x Med. Treads, Adv. Weight Redist. System, Transport Network Coupler, Lgt. Humpback","",
